i.d,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE
1,Kenyon Martin,2000,1,1,1,Draft,1610612751,New Jersey,Nets,NJN,Cincinnati,College/University
2,Stromile Swift,2000,1,2,2,Draft,1610612763,Vancouver,Grizzlies,VAN,Louisiana State,College/University
3,Darius Miles,2000,1,3,3,Draft,1610612746,Los Angeles,Clippers,LAC,East St. Louis,High School
4,Marcus Fizer,2000,1,4,4,Draft,1610612741,Chicago,Bulls,CHI,Iowa State,College/University
5,Mike Miller,2000,1,5,5,Draft,1610612753,Orlando,Magic,ORL,Florida,College/University
6,DerMarr Johnson,2000,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Cincinnati,College/University
7,Chris Mihm,2000,1,7,7,Draft,1610612741,Chicago,Bulls,CHI,Texas,College/University
8,Jamal Crawford,2000,1,8,8,Draft,1610612739,Cleveland,Cavaliers,CLE,Michigan,College/University
9,Joel Przybilla,2000,1,9,9,Draft,1610612745,Houston,Rockets,HOU,Minnesota,College/University
10,Keyon Dooling,2000,1,10,10,Draft,1610612753,Orlando,Magic,ORL,Missouri,College/University
11,Jerome Moiso,2000,1,11,11,Draft,1610612738,Boston,Celtics,BOS,California-Los Angeles,College/University
12,Etan Thomas,2000,1,12,12,Draft,1610612742,Dallas,Mavericks,DAL,Syracuse,College/University
13,Courtney Alexander,2000,1,13,13,Draft,1610612753,Orlando,Magic,ORL,Fresno State,College/University
14,Mateen Cleaves,2000,1,14,14,Draft,1610612765,Detroit,Pistons,DET,Michigan State,College/University
15,Jason Collier,2000,1,15,15,Draft,1610612749,Milwaukee,Bucks,MIL,Georgia Tech,College/University
16,Hedo Turkoglu,2000,1,16,16,Draft,1610612758,Sacramento,Kings,SAC,Anadolu Efes S.K. (Turkey),Other Team/Club
17,Desmond Mason,2000,1,17,17,Draft,1610612760,Seattle,SuperSonics,SEA,Oklahoma State,College/University
18,Quentin Richardson,2000,1,18,18,Draft,1610612746,Los Angeles,Clippers,LAC,DePaul,College/University
19,Jamaal Magloire,2000,1,19,19,Draft,1610612766,Charlotte,Hornets,CHH,Kentucky,College/University
20,Speedy Claxton,2000,1,20,20,Draft,1610612755,Philadelphia,76ers,PHI,Hofstra,College/University
21,Morris Peterson,2000,1,21,21,Draft,1610612761,Toronto,Raptors,TOR,Michigan State,College/University
22,Donnell Harvey,2000,1,22,22,Draft,1610612752,New York,Knicks,NYK,Florida,College/University
23,DeShawn Stevenson,2000,1,23,23,Draft,1610612762,Utah,Jazz,UTA,Washington Union,High School
24,Dalibor Bagaric,2000,1,24,24,Draft,1610612741,Chicago,Bulls,CHI,KK Dubrava (Croatia),Other Team/Club
25,Jake Tsakalidis,2000,1,25,25,Draft,1610612756,Phoenix,Suns,PHX,A.E.K. Athens B.C. (Greece),Other Team/Club
26,Mamadou N'diaye,2000,1,26,26,Draft,1610612743,Denver,Nuggets,DEN,Auburn,College/University
27,Primoz Brezec,2000,1,27,27,Draft,1610612754,Indiana,Pacers,IND,KK Olimpija (Slovenia),Other Team/Club
28,Erick Barkley,2000,1,28,28,Draft,1610612757,Portland,Trail Blazers,POR,St. John's (NY),College/University
29,Mark Madsen,2000,1,29,29,Draft,1610612747,Los Angeles,Lakers,LAL,Stanford,College/University
30,Marko Jaric,2000,2,1,30,Draft,1610612746,Los Angeles,Clippers,LAC,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club
31,Dan Langhi,2000,2,2,31,Draft,1610612742,Dallas,Mavericks,DAL,Vanderbilt,College/University
32,A.J. Guyton,2000,2,3,32,Draft,1610612741,Chicago,Bulls,CHI,Indiana,College/University
33,Jake Voskuhl,2000,2,4,33,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University
34,Khalid El-Amin,2000,2,5,34,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University
35,Mike Smith,2000,2,6,35,Draft,1610612764,Washington,Wizards,WAS,Louisiana-Monroe,College/University
36,Soumaila Samake,2000,2,7,36,Draft,1610612751,New Jersey,Nets,NJN,Cincinnati Stuff (IBL),Other Team/Club
37,Eddie House,2000,2,8,37,Draft,1610612748,Miami,Heat,MIA,Arizona State,College/University
38,Eduardo Najera,2000,2,9,38,Draft,1610612745,Houston,Rockets,HOU,Oklahoma,College/University
39,Lavor Postell,2000,2,10,39,Draft,1610612752,New York,Knicks,NYK,St. John's (NY),College/University
40,Hanno Mottola,2000,2,11,40,Draft,1610612737,Atlanta,Hawks,ATL,Utah,College/University
41,Chris Carrawell,2000,2,12,41,Draft,1610612759,San Antonio,Spurs,SAS,Duke,College/University
42,Olumide Oyedeji,2000,2,13,42,Draft,1610612760,Seattle,SuperSonics,SEA,DJK Wurzburg (Germany),Other Team/Club
43,Michael Redd,2000,2,14,43,Draft,1610612749,Milwaukee,Bucks,MIL,Ohio State,College/University
44,Brian Cardinal,2000,2,15,44,Draft,1610612765,Detroit,Pistons,DET,Purdue,College/University
45,Jabari Smith,2000,2,16,45,Draft,1610612758,Sacramento,Kings,SAC,Louisiana State,College/University
46,DeeAndre Hulett,2000,2,17,46,Draft,1610612761,Toronto,Raptors,TOR,Las Vegas Silver Bandits (IBL),Other Team/Club
47,Josip Sesar,2000,2,18,47,Draft,1610612760,Seattle,SuperSonics,SEA,KK Cibona (Croatia),Other Team/Club
48,Mark Karcher,2000,2,19,48,Draft,1610612755,Philadelphia,76ers,PHI,Temple,College/University
49,Jason Hart,2000,2,20,49,Draft,1610612749,Milwaukee,Bucks,MIL,Syracuse,College/University
50,Kaniel Dickens,2000,2,21,50,Draft,1610612762,Utah,Jazz,UTA,Idaho,College/University
51,Igor Rakocevic,2000,2,22,51,Draft,1610612750,Minnesota,Timberwolves,MIN,Red Star Belgrade (Serbia),Other Team/Club
52,Ernest Brown,2000,2,23,52,Draft,1610612748,Miami,Heat,MIA,Indian Hills Community College,College/University
53,Dan McClintock,2000,2,24,53,Draft,1610612743,Denver,Nuggets,DEN,Northern Arizona,College/University
54,Cory Hightower,2000,2,25,54,Draft,1610612759,San Antonio,Spurs,SAS,Indian Hills Community College,College/University
55,Chris Porter,2000,2,26,55,Draft,1610612744,Golden State,Warriors,GSW,Auburn,College/University
56,Jaquay Walls,2000,2,27,56,Draft,1610612754,Indiana,Pacers,IND,Colorado,College/University
57,Scoonie Penn,2000,2,28,57,Draft,1610612737,Atlanta,Hawks,ATL,Ohio State,College/University
58,Pete Mickeal,2000,2,29,58,Draft,1610612742,Dallas,Mavericks,DAL,Cincinnati,College/University
59,Kwame Brown,2001,1,1,1,Draft,1610612764,Washington,Wizards,WAS,Glynn Academy,High School
60,Tyson Chandler,2001,1,2,2,Draft,1610612746,Los Angeles,Clippers,LAC,Dominguez,High School
61,Pau Gasol,2001,1,3,3,Draft,1610612737,Atlanta,Hawks,ATL,FC Barcelona Basquet (Spain),Other Team/Club
62,Eddy Curry,2001,1,4,4,Draft,1610612741,Chicago,Bulls,CHI,Thornwood,High School
63,Jason Richardson,2001,1,5,5,Draft,1610612744,Golden State,Warriors,GSW,Michigan State,College/University
64,Shane Battier,2001,1,6,6,Draft,1610612763,Memphis,Grizzlies,MEM,Duke,College/University
65,Eddie Griffin,2001,1,7,7,Draft,1610612751,New Jersey,Nets,NJN,Seton Hall,College/University
66,DeSagana Diop,2001,1,8,8,Draft,1610612739,Cleveland,Cavaliers,CLE,Oak Hill Academy,High School
67,Rodney White,2001,1,9,9,Draft,1610612765,Detroit,Pistons,DET,North Carolina-Charlotte,College/University
68,Joe Johnson,2001,1,10,10,Draft,1610612738,Boston,Celtics,BOS,Arkansas,College/University
69,Kedrick Brown,2001,1,11,11,Draft,1610612738,Boston,Celtics,BOS,Northwest Florida State,College/University
70,Vladimir Radmanovic,2001,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA,KK FMP (Serbia),Other Team/Club
71,Richard Jefferson,2001,1,13,13,Draft,1610612745,Houston,Rockets,HOU,Arizona,College/University
72,Troy Murphy,2001,1,14,14,Draft,1610612744,Golden State,Warriors,GSW,Notre Dame,College/University
73,Steven Hunter,2001,1,15,15,Draft,1610612753,Orlando,Magic,ORL,DePaul,College/University
74,Kirk Haston,2001,1,16,16,Draft,1610612766,Charlotte,Hornets,CHH,Indiana,College/University
75,Michael Bradley,2001,1,17,17,Draft,1610612761,Toronto,Raptors,TOR,Villanova,College/University
76,Jason Collins,2001,1,18,18,Draft,1610612745,Houston,Rockets,HOU,Stanford,College/University
77,Zach Randolph,2001,1,19,19,Draft,1610612757,Portland,Trail Blazers,POR,Michigan State,College/University
78,Brendan Haywood,2001,1,20,20,Draft,1610612739,Cleveland,Cavaliers,CLE,North Carolina,College/University
79,Joseph Forte,2001,1,21,21,Draft,1610612738,Boston,Celtics,BOS,North Carolina,College/University
80,Jeryl Sasser,2001,1,22,22,Draft,1610612753,Orlando,Magic,ORL,Southern Methodist,College/University
81,Brandon Armstrong,2001,1,23,23,Draft,1610612745,Houston,Rockets,HOU,Pepperdine,College/University
82,Raul Lopez,2001,1,24,24,Draft,1610612762,Utah,Jazz,UTA,Real Madrid Baloncesto (Spain),Other Team/Club
83,Gerald Wallace,2001,1,25,25,Draft,1610612758,Sacramento,Kings,SAC,Alabama,College/University
84,Samuel Dalembert,2001,1,26,26,Draft,1610612755,Philadelphia,76ers,PHI,Seton Hall,College/University
85,Jamaal Tinsley,2001,1,27,27,Draft,1610612763,Memphis,Grizzlies,MEM,Iowa State,College/University
86,Tony Parker,2001,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS,Paris Basket Racing (France),Other Team/Club
87,Trenton Hassell,2001,2,1,29,Draft,1610612741,Chicago,Bulls,CHI,Austin Peay,College/University
88,Gilbert Arenas,2001,2,2,30,Draft,1610612744,Golden State,Warriors,GSW,Arizona,College/University
89,Omar Cook,2001,2,3,31,Draft,1610612753,Orlando,Magic,ORL,St. John's (NY),College/University
90,Will Solomon,2001,2,4,32,Draft,1610612763,Memphis,Grizzlies,MEM,Clemson,College/University
91,Terence Morris,2001,2,5,33,Draft,1610612737,Atlanta,Hawks,ATL,Maryland,College/University
92,Brian Scalabrine,2001,2,6,34,Draft,1610612751,New Jersey,Nets,NJN,Southern California,College/University
93,Jeff Trepagnier,2001,2,7,35,Draft,1610612739,Cleveland,Cavaliers,CLE,Southern California,College/University
94,Damone Brown,2001,2,8,36,Draft,1610612755,Philadelphia,76ers,PHI,Syracuse,College/University
95,Mehmet Okur,2001,2,9,37,Draft,1610612765,Detroit,Pistons,DET,Anadolu Efes S.K. (Turkey),Other Team/Club
96,Michael Wright,2001,2,10,38,Draft,1610612752,New York,Knicks,NYK,Arizona,College/University
97,Earl Watson,2001,2,11,39,Draft,1610612760,Seattle,SuperSonics,SEA,California-Los Angeles,College/University
98,Jamison Brewer,2001,2,12,40,Draft,1610612754,Indiana,Pacers,IND,Auburn,College/University
99,Bobby Simmons,2001,2,13,41,Draft,1610612760,Seattle,SuperSonics,SEA,DePaul,College/University
100,Eric Chenowith,2001,2,14,42,Draft,1610612752,New York,Knicks,NYK,Kansas,College/University
101,Kyle Hill,2001,2,15,43,Draft,1610612742,Dallas,Mavericks,DAL,Eastern Illinois,College/University
102,Sean Lampley,2001,2,16,44,Draft,1610612741,Chicago,Bulls,CHI,California,College/University
103,Loren Woods,2001,2,17,45,Draft,1610612750,Minnesota,Timberwolves,MIN,Arizona,College/University
104,Ousmane Cisse,2001,2,18,46,Draft,1610612743,Denver,Nuggets,DEN,St. Jude Educational Institute,High School
105,Antonis Fotsis,2001,2,19,47,Draft,1610612763,Memphis,Grizzlies,MEM,Panathinaikos B.C. (Greece),Other Team/Club
106,Ken Johnson,2001,2,20,48,Draft,1610612748,Miami,Heat,MIA,Ohio State,College/University
107,Ruben Boumtje-Boumtje,2001,2,21,49,Draft,1610612757,Portland,Trail Blazers,POR,Georgetown,College/University
108,Alton Ford,2001,2,22,50,Draft,1610612756,Phoenix,Suns,PHX,Houston,College/University
109,Andre Hutson,2001,2,23,51,Draft,1610612749,Milwaukee,Bucks,MIL,Michigan State,College/University
110,Jarron Collins,2001,2,24,52,Draft,1610612762,Utah,Jazz,UTA,Stanford,College/University
111,Kenny Satterfield,2001,2,25,53,Draft,1610612742,Dallas,Mavericks,DAL,Cincinnati,College/University
112,Maurice Jeffers,2001,2,26,54,Draft,1610612758,Sacramento,Kings,SAC,Saint Louis,College/University
113,Robertas Javtokas,2001,2,27,55,Draft,1610612759,San Antonio,Spurs,SAS,BC Lietuvos rytas (Lithuania),Other Team/Club
114,Alvin Jones,2001,2,28,56,Draft,1610612755,Philadelphia,76ers,PHI,Georgia Tech,College/University
115,Bryan Bracey,2001,2,29,57,Draft,1610612759,San Antonio,Spurs,SAS,Oregon,College/University
116,Yao Ming,2002,1,1,1,Draft,1610612745,Houston,Rockets,HOU,Shanghai Sharks (China),Other Team/Club
117,Jay Williams,2002,1,2,2,Draft,1610612741,Chicago,Bulls,CHI,Duke,College/University
118,Mike Dunleavy,2002,1,3,3,Draft,1610612744,Golden State,Warriors,GSW,Duke,College/University
119,Drew Gooden,2002,1,4,4,Draft,1610612763,Memphis,Grizzlies,MEM,Kansas,College/University
120,Nikoloz Tskitishvili,2002,1,5,5,Draft,1610612743,Denver,Nuggets,DEN,Universo Treviso Basket (Italy),Other Team/Club
121,Dajuan Wagner,2002,1,6,6,Draft,1610612739,Cleveland,Cavaliers,CLE,Memphis,College/University
122,Nene,2002,1,7,7,Draft,1610612752,New York,Knicks,NYK,CR Vasco da Gama (Brazil),Other Team/Club
123,Chris Wilcox,2002,1,8,8,Draft,1610612746,Los Angeles,Clippers,LAC,Maryland,College/University
124,Amar'e Stoudemire,2002,1,9,9,Draft,1610612756,Phoenix,Suns,PHX,Cypress Creek,High School
125,Caron Butler,2002,1,10,10,Draft,1610612748,Miami,Heat,MIA,Connecticut,College/University
126,Jared Jeffries,2002,1,11,11,Draft,1610612764,Washington,Wizards,WAS,Indiana,College/University
127,Melvin Ely,2002,1,12,12,Draft,1610612746,Los Angeles,Clippers,LAC,Fresno State,College/University
128,Marcus Haislip,2002,1,13,13,Draft,1610612749,Milwaukee,Bucks,MIL,Tennessee,College/University
129,Fred Jones,2002,1,14,14,Draft,1610612754,Indiana,Pacers,IND,Oregon,College/University
130,Bostjan Nachbar,2002,1,15,15,Draft,1610612745,Houston,Rockets,HOU,Universo Treviso Basket (Italy),Other Team/Club
131,Jiri Welsch,2002,1,16,16,Draft,1610612755,Philadelphia,76ers,PHI,KK Olimpija (Slovenia),Other Team/Club
132,Juan Dixon,2002,1,17,17,Draft,1610612764,Washington,Wizards,WAS,Maryland,College/University
133,Curtis Borchardt,2002,1,18,18,Draft,1610612753,Orlando,Magic,ORL,Stanford,College/University
134,Ryan Humphrey,2002,1,19,19,Draft,1610612762,Utah,Jazz,UTA,Notre Dame,College/University
135,Kareem Rush,2002,1,20,20,Draft,1610612761,Toronto,Raptors,TOR,Missouri,College/University
136,Qyntel Woods,2002,1,21,21,Draft,1610612757,Portland,Trail Blazers,POR,Northeast Mississippi Community College,College/University
137,Casey Jacobsen,2002,1,22,22,Draft,1610612756,Phoenix,Suns,PHX,Stanford,College/University
138,Tayshaun Prince,2002,1,23,23,Draft,1610612765,Detroit,Pistons,DET,Kentucky,College/University
139,Nenad Krstic,2002,1,24,24,Draft,1610612751,New Jersey,Nets,NJN,KK Partizan (Serbia),Other Team/Club
140,Frank Williams,2002,1,25,25,Draft,1610612743,Denver,Nuggets,DEN,Illinois,College/University
141,John Salmons,2002,1,26,26,Draft,1610612759,San Antonio,Spurs,SAS,Miami (FL),College/University
142,Chris Jefferies,2002,1,27,27,Draft,1610612747,Los Angeles,Lakers,LAL,Fresno State,College/University
